VENDOR_CODE,ORDER_QTY,UNIT_PRICE,ITEM_CODE,ORDER DATE,DELIVERY_PERIOD,DP_TYPE
M187,64,730,ITEM1,21-02-02,0,Years
M187,1712,869,ITEM1,12-04-02,0,Years
I036,397,742,ITEM1,11-12-02,0,Years
I036,52,742,ITEM1,13-02-03,0,Years
I036,680,763,ITEM1,25-11-02,0,Years
I036,324,771.5,ITEM1,11-03-03,0,Years
P678,1028,18.93,ITEM1,09-12-04,4,Months
M187,146,1136,ITEM1,16-01-05,2,Months
I036,52,771.75,ITEM1,11-12-02,0,Years
M187,107,717,ITEM1,15-06-03,3,Months
M187,59,1495,ITEM1,14-06-04,3,Months
P678,1948,12.58,ITEM1,16-02-04,4,Months
M187,1446,1038,ITEM1,28-01-05,3,Months
M187,400,1410,ITEM1,12-05-05,8,Weeks
P678,231,12.58,ITEM1,16-06-04,4,Months
T696,61,28.9,ITEM1,02-02-05,14,Weeks
M187,80,1594,ITEM1,19-05-07,3,Months
M187,998,1411,ITEM1,29-11-05,5,Months
M187,607,1295,ITEM1,29-05-06,5,Months
I181,270,1215.6,ITEM1,04-09-06,3,Months
M187,137,1495.11,ITEM1,20-06-04,3,Months
M187,227,1185,ITEM1,04-08-04,6,Weeks
~0032,110,1172.4,ITEM1,07-10-04,1,Weeks
M187,373,911.4,ITEM1,03-04-04,5,Months
P678,248,22.33,ITEM1,27-08-04,14,Weeks
M187,127,911.4,ITEM1,03-04-04,5,Months
P678,70,22.33,ITEM1,27-08-04,14,Weeks
M187,72,1063,ITEM1,15-11-04,10,Weeks
M187,149,1338,ITEM1,20-07-04,12,Weeks
M187,184,1048,ITEM1,26-12-04,12,Weeks
M187,300,1187,ITEM1,08-02-05,12,Weeks
I598,1586,25.29,ITEM1,05-03-06,3,Months
J110B,943,1177,ITEM1,16-02-07,4,Months
I036,35,1247,ITEM1,11-11-04,14,Weeks
T040,24,1500,ITEM1,24-05-05,16,Weeks
I181,278,1636,ITEM1,26-06-09,4,Months
J110B,396,1099.83,ITEM1,03-09-08,5,Months
M187,209,2374,ITEM1,27-01-09,5,Months
J110B,1397,1212,ITEM1,11-01-08,4,Months
M187,92,1187,ITEM1,22-05-07,6,Months
M187,375,1469,ITEM1,28-02-08,6,Months
M187,126,1165,ITEM1,22-10-08,5,Months
~0015,8,2380.56,ITEM1,15-06-09,5,Months
~0015,8,2380.56,ITEM1,15-06-09,5,Months
J110B,605,1100,ITEM1,16-04-08,4,Months
M187,600,1257,ITEM1,26-09-08,4,Months
I036,30,1882,ITEM1,12-12-08,4,Months
I594,105,28.85,ITEM1,01-05-09,3,Months
I036,252,1692,ITEM1,12-09-09,4,Months
J110A,219,1410,ITEM1,13-10-09,3,Months
T040,51,1385,ITEM1,17-11-09,2,Months
I036,100,1397,ITEM1,09-06-10,5,Months
E214,411,1894.08,ITEM1,19-02-12,2,Months
M187,18,1187,ITEM1,14-05-08,4,Months
M187,525,1750,ITEM1,16-10-08,4,Months
M187,15,2318,ITEM1,21-12-08,4,Months
M187,25,1775,ITEM1,23-06-09,3,Months
~0206,16,1750,ITEM1,14-05-09,2,Weeks
M187,1050,1740,ITEM1,25-09-08,3,Months
M187,6,2260,ITEM1,16-02-09,4,Months
J110B,21,1736,ITEM1,12-02-11,4,Months
P686,1812,22.96,ITEM1,02-09-09,3,Months
J110B,548,1200,ITEM1,02-11-09,3,Months
H086,291,1271.78,ITEM1,24-01-10,2,Months
~0765,4,1836,ITEM1,14-01-11,2,Weeks
O035,79,2790,ITEM1,11-12-10,1,Months
C727,14,40,ITEM1,12-06-09,3,Months
~0131,40,1469.97,ITEM1,24-01-10,4,Months
T040,6,1625,ITEM1,25-08-05,4,Weeks
T040,26,1750,ITEM1,09-01-11,12,Weeks
~0127,0,1865,ITEM1,17-05-11,0,Months
J110B,74,1930,ITEM1,16-11-11,14,Weeks
J110B,59,1523,ITEM1,25-06-14,3,Months
J110B,60,1696,ITEM1,03-10-14,3,Months
E214,3,1853.34,ITEM1,25-05-15,75,Days
~0016,19,2465.43,ITEM1,10-03-13,2,Months
E214,6,2054,ITEM1,08-12-13,2,Weeks
M187,1801,1543,ITEM1,14-06-14,5,Months
M187,659,1491,ITEM1,18-08-14,4,Months
E214,57,2120.16,ITEM1,12-02-16,6,Weeks
M187,15,1491,ITEM1,22-11-14,4,Months
~1167,0,305,ITEM1,29-07-14,3,Months
H663,50,28.25,ITEM1,30-11-14,4,Months
J110B,50,1781,ITEM1,07-09-15,5,Months
3743,72,2826,ITEM1,26-11-19,15,Weeks
81508,436,1,ITEM1,07-02-19,20,Weeks
G616,310,1,ITEM1,16-09-18,22,Weeks
G616,310,27.61,ITEM1,16-09-18,22,Weeks
G616,19,1,ITEM1,31-07-19,12,Weeks
G616,19,27.61,ITEM1,31-07-19,12,Weeks
G616,6,1,ITEM1,24-10-19,3,Months
G616,6,44.1,ITEM1,24-10-19,3,Months
M187,249,1424,ITEM1,07-11-16,3,Months
80121,303,1554.3,ITEM1,21-01-17,75,Days
80121,41,2120,ITEM1,27-11-17,3,Months
~1264,39,2034.72,ITEM1,08-03-18,60,Days
80121,58,1554.3,ITEM1,25-04-17,75,Days
M187,664,1413,ITEM1,23-10-15,3,Months
M187,504,1284,ITEM1,24-02-16,8,Weeks
M187,241,1413,ITEM1,03-12-15,3,Months
E214,41,1722.13,ITEM1,01-06-17,4,Months
M187,31,1507,ITEM1,12-12-16,3,Months
K648,240,14.13,ITEM1,29-02-16,2,Months
J110B,7,1406,ITEM1,16-05-16,2,Months
J110B,114,1399,ITEM1,18-09-16,6,Weeks
J110B,176,1526,ITEM1,01-03-17,6,Weeks
K648,173,14.13,ITEM1,17-12-16,2,Months
J110B,6,1554,ITEM1,07-09-17,3,Months
E214,202,2346.305,ITEM1,07-02-19,8,Weeks
M187,12,1328,ITEM1,23-08-16,2,Months
M187,74,1435,ITEM1,13-10-16,5,Weeks
J110B,350,1639,ITEM1,21-06-17,2,Months
J110B,78,1668,ITEM1,15-08-17,2,Months
80407,16,2250,ITEM1,23-01-18,3,Months
~1668,84,2289.06,ITEM1,14-05-18,2,Weeks
J110B,450,1879,ITEM1,28-03-18,21,Weeks
J110B,1344,2047,ITEM1,09-05-18,16,Weeks
H187,6,1667.7,ITEM1,13-04-17,6,Weeks
H187,193,1863,ITEM1,17-09-17,16,Weeks
M187,800,1893,ITEM1,27-03-18,21,Weeks
J110B,143,2048,ITEM1,09-05-18,16,Weeks
M187,113,1865,ITEM1,24-08-18,3,Months
M187,400,1893,ITEM1,08-04-18,21,Weeks
M187,50,1950,ITEM1,22-04-18,21,Weeks
H187,6,4239,ITEM1,29-10-17,6,Weeks
J110B,6,2048,ITEM1,15-05-18,16,Weeks
M187,13,1865,ITEM1,29-08-18,3,Months
H187,6,1667.7,ITEM1,13-04-17,6,Weeks
M187,8,1865,ITEM1,29-08-18,3,Months
~1264,50,2340,ITEM1,27-08-18,12,Weeks
80403,50,2205,ITEM1,20-01-19,8,Weeks
J110B,6,1710,ITEM1,26-10-17,4,Months
J110B,624,1950,ITEM1,25-05-18,3,Months
M187,228,1925,ITEM1,20-12-18,4,Months
M187,360,1960,ITEM1,14-06-19,4,Months
J110B,618,2107,ITEM1,02-06-19,4,Weeks
M187,547,1865,ITEM1,20-12-17,16,Weeks
E214,710.94,2078,ITEM1,05-04-18,2,Months
J110B,1208,1921,ITEM1,29-06-18,6,Months
J110B,1754,2063,ITEM1,13-11-18,6,Months
J110,368,945,ITEM1,25-02-21,6,Months
J110B,868,1851,ITEM1,21-11-18,5,Months
J110B,868,1851,ITEM1,21-11-18,5,Months
