VENDOR_CODE,DELIVERY_PERIOD,DP_TYPE,ACT_ISS_DT,ITEM,ORDER_QTY,UOM,UNIT_PRICE
E009,0,Years,03-05-00,ITEM2,48,NOS,142
T040,0,Years,21-08-01,ITEM2,1194,NOS,80
D111,0,Years,20-11-01,ITEM2,876,NOS,77
F130,0,Years,11-04-02,ITEM2,2543,NOS,70
T040,0,Years,29-05-02,ITEM2,2888,NOS,69
F130,0,Years,01-08-02,ITEM2,931,NOS,70
T040,0,Years,16-10-02,ITEM2,829,NOS,74
T040,0,Years,08-01-03,ITEM2,825,NOS,72
T040,0,Years,30-01-03,ITEM2,372,NOS,73
T050,3,Months,06-03-03,ITEM2,693,NOS,80
D111,6,Weeks,17-05-03,ITEM2,223,NOS,81
D111,12,Weeks,01-07-03,ITEM2,377,NOS,81
T040,6,Weeks,04-07-03,ITEM2,232,NOS,80
D111,12,Weeks,06-08-03,ITEM2,377,NOS,81
T040,6,Weeks,18-08-03,ITEM2,551,NOS,70
S265,6,Months,02-09-03,ITEM2,2000,NOS,71
D111,3,Months,16-09-03,ITEM2,677,NOS,69
S265,4,Months,03-11-03,ITEM2,233,NOS,69
S265,4,Months,03-11-03,ITEM2,347,NOS,69
D111,6,Months,05-11-03,ITEM2,1500,NOS,63
S265,6,Months,17-11-03,ITEM2,140,NOS,69
D111,8,Weeks,28-11-03,ITEM2,190,NOS,74
D111,6,Months,12-01-04,ITEM2,1212,NOS,63
D111,8,Weeks,16-01-04,ITEM2,147,NOS,74
S265,4,Months,21-01-04,ITEM2,33,NOS,68.648
T040,12,Weeks,15-03-04,ITEM2,189,NOS,95
T040,6,Weeks,19-03-04,ITEM2,163,NOS,140
T040,12,Weeks,02-04-04,ITEM2,124,NOS,110
T040,3,Months,21-04-04,ITEM2,572,NOS,107
C041,12,Weeks,05-05-04,ITEM2,218,NOS,124
C041,12,Weeks,05-05-04,ITEM2,323,NOS,125
C041,12,Weeks,26-05-04,ITEM2,17,NOS,130
A225,6,Weeks,25-06-04,ITEM2,80,NOS,125
N003,3,Months,23-07-04,ITEM2,290,NOS,95
E009,9,Weeks,02-08-04,ITEM2,48,NOS,175
T040,14,Weeks,26-08-04,ITEM2,189,NOS,138
~5121,4,Months,01-09-04,ITEM2,247,NOS,1.4
